#,Keyword,Volume (CA),Currently ranking,Live target URL on oberizonconstruction.ca,Verdict / what actually moves it
33,dental clinic construction,40.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Live hub, 40/mo."
34,[dental clinic contractor],0.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,Covered.
35,[dental clinic construction company],70.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Live hub, 70/mo."
36,dental clinic construction contractor,0.0,Yes (~#8),https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Ranking ~#8. Proof gap, not content gap."
37,licensed and insured healthcare contractor,0.0,Unverified,(blocked - no licence numbers),Trust gate flags BC contractor licence + WorkSafeBC numbers as unconfirmed. This keyword is unwinnable until Jas supplies them.
38,medical clinic permitting support,0.0,Unverified,https://www.oberizonconstruction.ca/blog/medical-clinic-construction-permits-bc/ + https://www.oberizonconstruction.ca/blog/commercial-renovation-permits-bc/,Two permit posts live.
39,office renovation contractors,50.0,Unverified,https://www.oberizonconstruction.ca/services/office-renovation-contractor/ + https://www.oberizonconstruction.ca/blog/office-renovation-cost-metro-vancouver/,"Hub + cost post live, 50/mo."
40,"""concept to completion clinic contractor""",0.0,Unverified,https://www.oberizonconstruction.ca/services/healthcare-construction/,"Brand-fluff phrase, 0 volume."
41,"""dental clinic construction BC""",0.0,Unverified,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,Covered.
42,pharmacy construction contractor,0.0,Unverified,https://www.oberizonconstruction.ca/services/pharmacy-construction/,Covered.
43,medico construction & design,90.0,No,https://www.oberizonconstruction.ca/blog/best-construction-company-vancouver-comparison/,"THE direct Medico play, already live: sourced 4-way comparison, competitor facts cited from medicoconstruction.com read 25 Aug 2026. 90/mo."
44,"""pharmacy construction""",20.0,No (yet),https://www.oberizonconstruction.ca/services/pharmacy-construction/ + https://www.oberizonconstruction.ca/blog/pharmacy-build-timeline-bc/,"Covered, 20/mo."
45,healthcare space design and build BC,0.0,Unverified,https://www.oberizonconstruction.ca/services/healthcare-construction/,Covered.
46,[dental office renovation contractor],0.0,Yes,https://www.oberizonconstruction.ca/services/dental-office-renovation/,Already ranking.
47,[oberizon construction],10.0,Yes (#1),https://www.oberizonconstruction.ca/,"Brand term, already #1."
48,medical office build out contractor,0.0,Unverified,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,Covered.
49,veterinary clinic construction contractor,0.0,Unverified,https://www.oberizonconstruction.ca/blog/veterinary-clinic-construction/,Dedicated post live.
50,medical clinic design build experts,0.0,Unverified,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,"Brand-fluff phrase, 0 volume."
51,clinic construction Vancouver,0.0,Unverified,https://www.oberizonconstruction.ca/construction/vancouver/,Live city hub.
52,clinic contractor trusted BC,0.0,Unverified,https://www.oberizonconstruction.ca/services/clinic-renovation-contractor/,"Brand-fluff phrase, 0 volume."
53,commercial general contractor,320.0,Unverified,https://www.oberizonconstruction.ca/services/commercial-construction/ + https://www.oberizonconstruction.ca/blog/how-to-choose-a-commercial-general-contractor/,Hub + post live. 320/mo - highest real volume on the sheet.
54,medical clinic construction,50.0,Unverified,https://www.oberizonconstruction.ca/services/medical-clinic-construction/,"Live hub, 50/mo."
55,healthcare facility contractor Alberta,0.0,Unverified,(BC only),Alberta out of service area.
56,licensed medical construction company BC,0.0,Unverified,(blocked - no licence numbers),Same blocker as row 37.
57,free consultation clinic construction,0.0,Unverified,https://www.oberizonconstruction.ca/contact/,"Conversion phrase, 0 volume. Already served by the consultation form on every page."
58,medical clinic contractor near me,0.0,Unverified,https://www.oberizonconstruction.ca/construction/white-rock/,"'Near me' resolves to proximity + Google Business Profile, not to a page. GBP work, not content."
59,"""dental clinic contractor Surrey""",0.0,Yes (#1),https://www.oberizonconstruction.ca/construction/surrey/dental-clinic-construction/,Already #1.
60,dental office contractor,120.0,Unverified,https://www.oberizonconstruction.ca/services/dental-office-renovation/ + https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Covered, 120/mo."
61,clinic construction Richmond,0.0,Unverified,https://www.oberizonconstruction.ca/construction/richmond/,Page EXISTS but held back - evidence 'none'. One dated Richmond review or confirming the Kanwarveer clinic is Richmond flips it to indexed.
62,Vancouver clinic builders,0.0,Unverified,https://www.oberizonconstruction.ca/construction/vancouver/,Covered.
63,dental clinic contractor Vancouver,0.0,No (yet),https://www.oberizonconstruction.ca/construction/vancouver/dental-clinic-construction/,Covered.
64,dental clinic construction company,70.0,No,https://www.oberizonconstruction.ca/services/dental-clinic-construction/,"Live hub, 70/mo."
65,dental office contractors,30.0,Unverified,https://www.oberizonconstruction.ca/services/dental-office-renovation/,"Covered, 30/mo."
